player,team
Fred VanVleet,TOR
Antoine Walker,BOS
Clarence Weatherspoon,PHI
Chris Webber,GSW
Brevin Knight,CLE
John Starks,NYK
Jerome Kersey,POR
Steve Smith,POR
Antoine Walker,BOS
Wally Szczerbiak,MIN
Wally Szczerbiak,MIN
Rik Smits,IND
Theo Ratliff,TOT
Chris Webber,TOT
Peja Stojaković,SAC
Brandon Roy,POR
Hedo Türkoğlu,ORL
Chris Paul,NOK
Mo Williams,CLE
Khris Middleton,MIL
Gerald Wallace,TOT
Kawhi Leonard,SAS
Nikola Vučević,ORL
David Lee,GSW
Tony Parker,SAS
Al Horford,BOS
Kristaps Porziņģis,NYK
Brook Lopez,MIL
Lou Williams,LAC
Otis Thorpe,HOU
Terry Porter,POR
